Variation,v_ego,v_target,t_cut_in,a_target,R_cut_in
0,50,30,1,-8,10
1,50,30,1,-8,20
2,50,30,1,-8,30
3,50,30,1,-8,40
4,50,30,1,-8,50
5,50,30,1,-6,10
6,50,30,1,-6,20
7,50,30,1,-6,30
8,50,30,1,-6,40
9,50,30,1,-6,50
10,50,30,1,-4,10
11,50,30,1,-4,20
12,50,30,1,-4,30
13,50,30,1,-4,40
14,50,30,1,-4,50
15,50,30,1,-2,10
16,50,30,1,-2,20
17,50,30,1,-2,30
18,50,30,1,-2,40
19,50,30,1,-2,50
20,50,30,1,0,10
21,50,30,1,0,20
22,50,30,1,0,30
23,50,30,1,0,40
24,50,30,1,0,50
25,50,30,2,-8,10
26,50,30,2,-8,20
27,50,30,2,-8,30
28,50,30,2,-8,40
29,50,30,2,-8,50
30,50,30,2,-6,10
31,50,30,2,-6,20
32,50,30,2,-6,30
33,50,30,2,-6,40
34,50,30,2,-6,50
35,50,30,2,-4,10
36,50,30,2,-4,20
37,50,30,2,-4,30
38,50,30,2,-4,40
39,50,30,2,-4,50
40,50,30,2,-2,10
41,50,30,2,-2,20
42,50,30,2,-2,30
43,50,30,2,-2,40
44,50,30,2,-2,50
45,50,30,2,0,10
46,50,30,2,0,20
47,50,30,2,0,30
48,50,30,2,0,40
49,50,30,2,0,50
50,50,30,3,-8,10
51,50,30,3,-8,20
52,50,30,3,-8,30
53,50,30,3,-8,40
54,50,30,3,-8,50
55,50,30,3,-6,10
56,50,30,3,-6,20
57,50,30,3,-6,30
58,50,30,3,-6,40
59,50,30,3,-6,50
60,50,30,3,-4,10
61,50,30,3,-4,20
62,50,30,3,-4,30
63,50,30,3,-4,40
64,50,30,3,-4,50
65,50,30,3,-2,10
66,50,30,3,-2,20
67,50,30,3,-2,30
68,50,30,3,-2,40
69,50,30,3,-2,50
70,50,30,3,0,10
71,50,30,3,0,20
72,50,30,3,0,30
73,50,30,3,0,40
74,50,30,3,0,50
75,50,30,4,-8,20
76,50,30,4,-8,30
77,50,30,4,-8,40
78,50,30,4,-8,50
79,50,30,4,-6,20
80,50,30,4,-6,30
81,50,30,4,-6,40
82,50,30,4,-6,50
83,50,30,4,-4,10
84,50,30,4,-4,20
85,50,30,4,-4,30
86,50,30,4,-4,40
87,50,30,4,-4,50
88,50,30,4,-2,10
89,50,30,4,-2,20
90,50,30,4,-2,30
91,50,30,4,-2,40
92,50,30,4,-2,50
93,50,30,4,0,10
94,50,30,4,0,20
95,50,30,4,0,30
96,50,30,4,0,40
97,50,30,4,0,50
98,50,30,5,-8,20
99,50,30,5,-8,30
100,50,30,5,-8,40
101,50,30,5,-8,50
102,50,30,5,-6,20
103,50,30,5,-6,30
104,50,30,5,-6,40
105,50,30,5,-6,50
106,50,30,5,-4,20
107,50,30,5,-4,30
108,50,30,5,-4,40
109,50,30,5,-4,50
110,50,30,5,-2,20
111,50,30,5,-2,30
112,50,30,5,-2,40
113,50,30,5,-2,50
114,50,30,5,0,20
115,50,30,5,0,30
116,50,30,5,0,40
117,50,30,5,0,50
118,70,30,1,-8,10
119,70,30,1,-8,20
120,70,30,1,-8,30
121,70,30,1,-8,40
122,70,30,1,-8,50
123,70,30,1,-6,10
124,70,30,1,-6,20
125,70,30,1,-6,30
126,70,30,1,-6,40
127,70,30,1,-6,50
128,70,30,1,-4,10
129,70,30,1,-4,20
130,70,30,1,-4,30
131,70,30,1,-4,40
132,70,30,1,-4,50
133,70,30,1,-2,10
